Provinsi,Latitude,Longitude,PDRB.Rupiah.Prov,Jumlah.Penduduk.Prov,APKSMA.prov,JumlahUmur15.19.prov,JumlahMuridSMASMK.prov,JumlahPSDKU.prov,JumlahMahasiswaPSDKU.prov,JumlahPJJ.prov,JumlahPerguruanTinggi,JumlahMahasiswaPT.prov,Berapaorangyangmau.kuliah,Rasio.prov,Sisa.prov,RasioNyata.prov,JumlahCalonMahasiswa.prov,PeluangmahasiswaPSDKU.prov,Cluster.prov,Classification.prov
Aceh,4.825235,96.53228,"Rp41.424.370,00",5554800,"93,8",478146,184210,30,2440,0,189,197378,448501,2.27,251123,1.071,248683,0.99,4,Potensial
Bali,-8.41145,115.1866,"Rp62.293.230,00",2793100,"93,4",336798,182024,9,424,2,107,148517,314569,2.12,166052,0.816,165628,0.997,4,Potensial
Banten,-6.44565,106.0468,"Rp66.147.390,00",37892300,"75,02",998362,466753,18,4018,56,232,1457177,748971,0.51,-708206,3.122,-712224,1.006,3,Tidak Potensial
Bengkulu,-3.07987,101.7491,"Rp46.285.280,00",1531500,"94,53",171394,82821,8,406,0,36,67325,162019,2.41,94694,0.813,94288,0.996,4,Potensial
DI Yogyakarta,-7.94212,110.4139,"Rp48.358.220,00",41814500,"90,82",269285,146925,3,176,9,141,444081,244565,0.55,-199516,3.023,-199692,1.001,3,Tidak Potensial
DKI Jakarta,-6.22517,106.8918,"Rp322.615.130,00",10684900,"77,4",835050,385861,19,2593,25,8,723686,646329,0.89,-77357,1.876,-79950,1.034,1,Tidak Potensial
Gorontalo,0.750466,122.5145,"Rp42.346.820,00",4045900,"89,11",106524,49295,0,0,1,21,57834,94924,1.64,37090,1.173,37090,1,1,Potensial
Jambi,-1.5328,102.4783,"Rp79.835.780,00",8837300,"85,23",301273,128509,1,48,0,88,108800,256775,2.36,147975,0.847,147927,0.9997,4,Potensial
Jawa Barat,-7.04052,107.5981,"Rp52.651.450,00",50345200,"79,07",4060896,1869372,74,17255,3,825,1015839,3210950,3.16,2195111,0.543,2177856,0.9921,0,Potensial
Jawa Tengah,-7.19579,110.0835,"Rp45.198.510,00",3759500,"87,84",2791354,1228664,61,6831,6,472,766870,2451925,3.2,1685055,0.624,1678224,0.9959,0,Potensial
Jawa Timur,-7.61579,112.2033,"Rp71.121.930,00",12431400,"89,26",2973787,1307945,67,8870,7,743,1161347,2654402,2.29,1493055,0.888,1484185,0.9941,4,Potensial
Kalimantan Barat,-0.33548,111.2805,"Rp48.808.920,00",4433300,"88,52",472478,206142,24,2288,1,90,106539,418238,3.93,311699,0.517,309411,0.9927,0,Potensial
Kalimantan Selatan,-3.08155,115.4332,"Rp63.779.060,00",5656000,"82,21",330080,121784,0,0,1,72,118875,271359,2.28,152484,0.976,152484,1,4,Potensial
Kalimantan Tengah,-1.65739,113.4045,"Rp75.293.970,00",5646000,"85,63",236339,95036,6,277,0,24,44939,202377,4.5,157438,0.473,157161,0.9982,2,Potensial
Kalimantan Timur,0.450043,116.3694,"Rp215.761.420,00",5695500,"95,16",332637,160956,24,1075,2,17,108218,316537,2.93,208319,0.672,207244,0.9948,0,Potensial
Kalimantan Utara,3.03065,116.1368,"Rp201.748.780,00",2809700,"97,78",66211,28664,5,0,0,7,14193,64741,4.56,50548,0.495,50548,1,2,Potensial
Kepulauan Bangka Belitung,-2.47438,106.0152,"Rp67.885.260,00",9419600,"88,28",127481,54930,2,140,0,32,19347,112540,5.82,93193,0.352,93053,0.9985,2,Potensial
Kepulauan Riau,1.073384,104.4668,"Rp154.178.970,00",3724300,"90,58",175797,90526,6,470,0,10,55299,159237,2.88,103938,0.611,103468,0.9955,0,Potensial
Lampung,-4.97224,104.5497,"Rp48.194.220,00",2183300,"89,12",723002,314470,13,1954,1,75,193073,644339,3.34,451266,0.614,449312,0.9957,0,Potensial
Maluku,-3.08769,129.3811,"Rp30.456.110,00",1945600,"95,96",180391,91113,21,2834,1,21,73016,173103,2.37,100087,0.801,97253,0.9717,4,Potensial
Maluku Utara,0.643977,128.0174,"Rp63.676.840,00",1355600,"95,64",121128,61876,2,0,0,14,46633,115847,2.48,69214,0.754,69214,1,4,Potensial
Nusa Tenggara Barat,-8.89135,117.368,"Rp29.925.600,00",1227800,"93,23",434809,189246,12,430,1,122,144717,405372,2.8,260655,0.765,260225,0.9984,0,Potensial
Nusa Tenggara Timur,-8.5566,120.0622,"Rp23.078.030,00",1503200,"88,66",476529,308274,15,2561,3,98,127306,422491,3.32,295185,0.413,292624,0.9913,0,Potensial
Papua,-3.27519,137.5556,"Rp78.061.390,00",4542600,"73,9",64898,106626,13,2501,1,54,80427,47960,0.6,-32467,0.754,-34968,1.077,1,Tidak Potensial
Papua Barat,-1.304,132.4143,"Rp108.101.500,00",1205800,"96,79",109238,46036,1,0,0,17,41953,105731,2.52,63778,0.911,63778,1,4,Potensial
Riau,0.60088,102.0873,"Rp154.522.280,00",6728100,"85,12",566267,270725,24,883,0,53,191925,482006,2.51,290081,0.709,289198,0.997,4,Potensial
Sulawesi Barat,-2.38527,119.4206,"Rp39.533.270,00",3121800,"89,18",135906,55171,2,0,0,30,35556,121201,3.41,85645,0.644,85645,1,0,Potensial
Sulawesi Selatan,-3.4477,119.9549,"Rp69.702.400,00",2701800,"88,04",820695,354242,14,392,3,136,422943,722540,1.71,299597,1.194,299205,0.9987,1,Potensial
Sulawesi Tengah,-1.14256,120.2252,"Rp112.461.060,00",739800,"88,69",259514,122568,7,1174,0,55,104002,230163,2.21,126161,0.849,124987,0.9907,4,Potensial
Sulawesi Tenggara,-3.92093,121.9861,"Rp64.088.400,00",9463400,"90,31",246034,130203,9,212,1,91,120691,222193,1.84,101502,0.927,101290,0.9979,4,Potensial
Sulawesi Utara,0.911365,124.4171,"Rp64.130.960,00",4273400,"86,03",203675,110794,1,9,0,93,109581,175222,1.6,65641,0.989,65632,0.9999,1,Potensial
Sumatera Barat,-0.90664,100.7208,"Rp54.326.760,00",5836200,92,491226,241227,28,1879,0,169,232632,451928,1.94,219296,0.964,217417,0.9914,4,Potensial
Sumatera Selatan,-3.07539,104.1907,"Rp71.950.370,00",2112200,"82,26",693793,336065,26,1962,0,53,177164,570714,3.22,393550,0.527,391588,0.995,0,Potensial
Sumatera Utara,2.542944,99.25051,"Rp68.305.710,00",15588500,"98,02",1307916,693836,29,2509,0,100,470978,1282019,2.72,811041,0.679,808532,0.9969,4,Potensial
