Provinsi,Kabupaten,Longitude,Latitude,Jumlah.Penduduk.Kab,PDRB.Rupiah.Kab,APK.SMA,Jumlah.Umur.15.19,Jumlah.Murid.SMA.SMK,APK.SMP,Jumlah.Umur.10.14,Jumlah.Murid.SMP,Jumlah.Mahasiswa.PSDKU,Jumlah.Perguruan.Tinggi,Jumlah.Mahasiswa,Banyak.Orang.yg.akan.Kuliah,Rasio.kab,Sisa.kab,Rasio.Nyata,JumlahCalonMahasiswa.Kab,Peluang.mahasiswa.PSDKU,Cluster.kab,Classification.kab
Aceh,Aceh Barat,96.21865539,4.471836756,198736,"Rp66.280.000,00",95.3,11089,10568,105.55,11937,12600,427,13,12663,10071,0.8,-2592,1.2,-3019,1.165,0,Tidak Potensial
Aceh,Aceh Barat Daya,96.87676594,3.846396554,150775,"Rp31.630.000,00",92.73,7136,6617,103.67,7164,7164,0,2,921,6136,6.66,5215,0.14,5215,1,0,Potensial
Aceh,Aceh Besar,95.51014714,5.412082974,405535,"Rp40.200.000,00",95.88,17197,16488,106.24,23621,25095,0,1,5685,15809,2.78,10124,0.34,10124,1,0,Potensial
Aceh,Aceh Jaya,95.69339067,4.88472196,93159,"Rp34.550.000,00",106.1,4114,4365,112.31,5264,5264,0,2,91,4631,50.89,4540,0.02,4540,1,3,Potensial
Aceh,Aceh Selatan,97.30367324,3.338715749,232414,"Rp29.370.000,00",100.08,12396,12406,97.95,12265,12014,257,5,765,12416,16.23,11651,0.06,11394,0.978,0,Potensial
Aceh,Aceh Singkil,97.9586505,2.430605221,126514,"Rp24.030.000,00",107.79,7174,7733,107.28,7263,7792,0,3,1249,8335,6.67,7086,0.16,7086,1,0,Potensial
Aceh,Aceh Tamiang,97.9683898,4.197881195,294356,"Rp35.150.000,00",93.7,15859,14860,99.09,17248,17091,0,5,897,13924,15.52,13027,0.06,13027,1,0,Potensial
Aceh,Aceh Tengah,96.83092174,4.493759054,215576,"Rp43.970.000,00",92.57,10179,9423,108.31,10480,11351,108,8,5778,8723,1.51,2945,0.61,2837,0.963,0,Potensial
Aceh,Aceh Tenggara,97.75695253,3.329582853,220860,"Rp27.100.000,00",106.06,13754,14587,100.9,14324,14453,115,13,5968,15471,2.59,9503,0.41,9388,0.988,0,Potensial
Aceh,Aceh Timur,97.5399319,4.592990065,422401,"Rp31.500.000,00",75.26,23283,17524,103.38,23694,24494,0,5,1015,13189,12.99,12174,0.06,12174,1,0,Potensial
Aceh,Aceh Utara,97.14509129,5.038708443,602793,"Rp45.560.000,00",77.05,39790,30660,99.4,37589,37589,422,9,22221,23624,1.06,1403,0.72,981,0.699,0,Potensial
Sumatera Barat,Agam,100.133032,-0.232578966,540905,"Rp47.405.310,00",84.78,47742,17018,95.03,43854,14061,0,5,12068,14428,1.2,2360,0.71,2360,1,0,Potensial
Nusa Tenggara Timur,Alor,124.5475672,-8.331788968,221536,"Rp16.411.000,00",65.54,17186,9817,97.07,20084,11549,0,2,0,6434,0,6434,0,6434,1,0,Tidak Potensial
Maluku,Ambon,128.1754764,-3.642341372,362639,"Rp51.642.591,84",110.66,27216,8412,109.54,25553,15706,0,0,56142,9309,0.17,-46833,6.67,-46833,1,0,Tidak Potensial
Sumatera Utara,Asahan,99.52911544,2.809796469,802563,"Rp63.897.816,21",73.45,67891,28227,83.93,69215,25036,55,14,10343,20733,2,10390,0.37,10335,0.995,0,Potensial
Bali,Badung,115.2017735,-8.515567693,549527,"Rp121.416.000,00",98.12,42320,26675,94.71,39268,27812,0,13,0,26174,0,26174,0,26174,1,0,Tidak Potensial
